Projection # 1 - Tilt angle: 30.13
Radius	s(1/A)	Res(A)	NLOO2D
143	0.00143	  700.162	  0.8585
144	0.00144	  695.300	  0.8562
145	0.00145	  690.505	  0.8640
146	0.00146	  685.775	  0.8591
147	0.00147	  681.110	  0.8527
148	0.00148	  676.508	  0.8560
149	0.00149	  671.968	  0.8480
150	0.00150	  667.488	  0.8408
151	0.00151	  663.068	  0.8395
152	0.00152	  658.705	  0.8421
153	0.00153	  654.400	  0.8480
154	0.00154	  650.151	  0.8303
155	0.00155	  645.956	  0.8271
156	0.00156	  641.815	  0.8342
157	0.00157	  637.727	  0.8295
158	0.00158	  633.691	  0.8248
159	0.00159	  629.706	  0.8275
160	0.00160	  625.770	  0.8338
161	0.00161	  621.883	  0.8266
162	0.00162	  618.044	  0.8153
163	0.00163	  614.253	  0.8179
164	0.00164	  610.507	  0.8122
165	0.00165	  606.807	  0.8035
166	0.00166	  603.152	  0.8131
167	0.00167	  599.540	  0.8122
168	0.00168	  595.971	  0.8086
169	0.00169	  592.445	  0.7905
170	0.00170	  588.960	  0.7778
171	0.00171	  585.516	  0.7805
172	0.00172	  582.112	  0.7990
173	0.00173	  578.747	  0.8080
174	0.00174	  575.421	  0.7880
175	0.00175	  572.133	  0.7814
176	0.00176	  568.882	  0.7791
177	0.00177	  565.668	  0.7803
178	0.00178	  562.490	  0.7825
179	0.00179	  559.347	  0.7787
180	0.00180	  556.240	  0.7836
181	0.00181	  553.167	  0.7816
182	0.00182	  550.128	  0.7831
183	0.00183	  547.121	  0.7870
184	0.00184	  544.148	  0.7764
185	0.00185	  541.207	  0.7609
186	0.00186	  538.297	  0.7541
187	0.00187	  535.418	  0.7601
188	0.00188	  532.570	  0.7582
189	0.00189	  529.752	  0.7408
190	0.00190	  526.964	  0.7303
191	0.00191	  524.205	  0.7250
192	0.00192	  521.475	  0.7307
193	0.00193	  518.773	  0.7349
194	0.00194	  516.099	  0.7416
195	0.00195	  513.452	  0.7268
196	0.00196	  510.833	  0.6999
197	0.00197	  508.240	  0.6988
198	0.00198	  505.673	  0.6945
199	0.00199	  503.132	  0.7024
200	0.00200	  500.616	  0.7033
201	0.00201	  498.125	  0.6935
202	0.00202	  495.659	  0.7084
203	0.00203	  493.218	  0.7031
204	0.00204	  490.800	  0.6883
205	0.00205	  488.406	  0.6908
206	0.00206	  486.035	  0.6756
207	0.00207	  483.687	  0.6820
208	0.00208	  481.362	  0.7095
209	0.00209	  479.058	  0.7012
210	0.00210	  476.777	  0.6828
211	0.00211	  474.518	  0.6680
212	0.00212	  472.279	  0.6710
213	0.00213	  470.062	  0.6703
214	0.00214	  467.865	  0.6739
215	0.00215	  465.689	  0.6760
216	0.00216	  463.533	  0.6541
217	0.00217	  461.397	  0.6409
218	0.00218	  459.281	  0.6061
219	0.00219	  457.184	  0.5985
220	0.00220	  455.105	  0.5996
221	0.00221	  453.046	  0.6184
222	0.00222	  451.005	  0.6401
223	0.00223	  448.983	  0.6295
224	0.00224	  446.979	  0.6325
225	0.00225	  444.992	  0.6192
226	0.00226	  443.023	  0.6122
227	0.00227	  441.071	  0.6136
228	0.00228	  439.137	  0.6045
229	0.00229	  437.219	  0.6093
230	0.00230	  435.318	  0.6157
231	0.00231	  433.434	  0.6121
232	0.00232	  431.566	  0.5898
233	0.00233	  429.713	  0.5806
234	0.00234	  427.877	  0.5782
235	0.00235	  426.056	  0.6098
236	0.00236	  424.251	  0.6176
237	0.00237	  422.461	  0.5959
238	0.00238	  420.686	  0.5907
239	0.00239	  418.926	  0.5808
240	0.00240	  417.180	  0.5733
241	0.00241	  415.449	  0.5755
242	0.00242	  413.732	  0.5807
243	0.00243	  412.030	  0.5708
244	0.00244	  410.341	  0.5506
245	0.00245	  408.666	  0.5312
246	0.00246	  407.005	  0.5482
247	0.00247	  405.357	  0.5426
248	0.00248	  403.723	  0.5481
249	0.00249	  402.101	  0.5603
250	0.00250	  400.493	  0.5165
251	0.00251	  398.897	  0.5204
252	0.00252	  397.314	  0.5478
253	0.00253	  395.744	  0.5224
254	0.00254	  394.186	  0.5218
255	0.00255	  392.640	  0.5254
256	0.00256	  391.106	  0.5232
257	0.00257	  389.584	  0.5328
258	0.00258	  388.074	  0.5102
259	0.00259	  386.576	  0.4989
260	0.00260	  385.089	  0.4967
261	0.00261	  383.614	  0.5025
262	0.00262	  382.150	  0.5096
263	0.00263	  380.697	  0.4952
264	0.00264	  379.255	  0.4832
265	0.00265	  377.823	  0.4673
266	0.00266	  376.403	  0.4656
267	0.00267	  374.993	  0.4641
268	0.00268	  373.594	  0.4781
269	0.00269	  372.205	  0.4766
270	0.00270	  370.827	  0.4615
271	0.00271	  369.458	  0.4719
272	0.00272	  368.100	  0.4778
273	0.00273	  366.752	  0.4740
274	0.00274	  365.413	  0.4566
275	0.00275	  364.084	  0.4655
276	0.00276	  362.765	  0.4572
277	0.00277	  361.456	  0.4206
278	0.00278	  360.155	  0.4334
279	0.00279	  358.865	  0.4568
280	0.00280	  357.583	  0.4689
281	0.00281	  356.310	  0.4750
282	0.00282	  355.047	  0.4522
283	0.00283	  353.792	  0.4381
284	0.00284	  352.546	  0.4493
285	0.00285	  351.310	  0.4397
286	0.00286	  350.081	  0.4132
287	0.00287	  348.861	  0.4104
288	0.00288	  347.650	  0.4092
289	0.00289	  346.447	  0.4207
290	0.00290	  345.252	  0.4286
291	0.00291	  344.066	  0.4009
292	0.00292	  342.888	  0.4138
293	0.00293	  341.717	  0.4132
294	0.00294	  340.555	  0.3809
295	0.00295	  339.401	  0.3863
296	0.00296	  338.254	  0.3958
297	0.00297	  337.115	  0.3924
298	0.00298	  335.984	  0.3898
299	0.00299	  334.860	  0.3798
300	0.00300	  333.744	  0.3555
301	0.00301	  332.635	  0.3595
302	0.00302	  331.534	  0.3781
303	0.00303	  330.440	  0.3576
304	0.00304	  329.353	  0.3237
305	0.00305	  328.273	  0.3249
306	0.00306	  327.200	  0.3685
307	0.00307	  326.134	  0.3686
308	0.00308	  325.075	  0.3433
309	0.00309	  324.023	  0.3584
310	0.00310	  322.978	  0.3485
311	0.00311	  321.940	  0.3246
312	0.00312	  320.908	  0.3197
313	0.00313	  319.882	  0.3302
314	0.00314	  318.864	  0.3437
315	0.00315	  317.851	  0.3339
316	0.00316	  316.846	  0.3251
317	0.00317	  315.846	  0.3335
318	0.00318	  314.853	  0.3487
319	0.00319	  313.866	  0.3475
320	0.00320	  312.885	  0.3181
321	0.00321	  311.910	  0.2931
322	0.00322	  310.942	  0.2955
323	0.00323	  309.979	  0.3213
324	0.00324	  309.022	  0.3339
325	0.00325	  308.071	  0.3243
326	0.00326	  307.126	  0.2995
327	0.00327	  306.187	  0.3004
328	0.00328	  305.254	  0.2984
329	0.00329	  304.326	  0.2880
330	0.00330	  303.404	  0.2922
331	0.00331	  302.487	  0.3272
332	0.00332	  301.576	  0.3149
333	0.00333	  300.670	  0.2665
334	0.00334	  299.770	  0.2890
335	0.00335	  298.875	  0.3113
336	0.00336	  297.986	  0.2940
337	0.00337	  297.102	  0.2895
338	0.00338	  296.223	  0.2896
339	0.00339	  295.349	  0.2707
340	0.00340	  294.480	  0.2780
341	0.00341	  293.616	  0.2877
342	0.00342	  292.758	  0.2873
343	0.00343	  291.904	  0.2985
344	0.00344	  291.056	  0.2950
345	0.00345	  290.212	  0.2764
346	0.00346	  289.373	  0.2561
347	0.00347	  288.539	  0.2513
348	0.00348	  287.710	  0.2795
349	0.00349	  286.886	  0.2689
350	0.00350	  286.066	  0.2394
351	0.00351	  285.251	  0.2350
352	0.00352	  284.441	  0.2274
353	0.00353	  283.635	  0.2277
354	0.00354	  282.834	  0.2270
355	0.00355	  282.037	  0.2250
356	0.00356	  281.245	  0.2172
357	0.00357	  280.457	  0.2090
358	0.00358	  279.674	  0.2324
359	0.00359	  278.895	  0.2477
360	0.00360	  278.120	  0.2358
361	0.00361	  277.350	  0.2153
362	0.00362	  276.583	  0.2214
363	0.00363	  275.822	  0.2341
364	0.00364	  275.064	  0.2334
365	0.00365	  274.310	  0.2307
366	0.00366	  273.561	  0.2313
367	0.00367	  272.815	  0.2444
368	0.00368	  272.074	  0.2146
369	0.00369	  271.337	  0.2096
370	0.00370	  270.603	  0.2464
371	0.00371	  269.874	  0.2281
372	0.00372	  269.148	  0.1829
373	0.00373	  268.427	  0.1777
374	0.00374	  267.709	  0.1839
375	0.00375	  266.995	  0.1769
376	0.00376	  266.285	  0.1803
377	0.00377	  265.579	  0.1886
378	0.00378	  264.876	  0.1905
379	0.00379	  264.177	  0.1683
380	0.00380	  263.482	  0.1703
381	0.00381	  262.791	  0.1761
382	0.00382	  262.103	  0.1948
383	0.00383	  261.418	  0.2035
384	0.00384	  260.738	  0.1804
385	0.00385	  260.060	  0.2024
386	0.00386	  259.387	  0.2032
387	0.00387	  258.716	  0.1894
388	0.00388	  258.049	  0.2061
389	0.00389	  257.386	  0.1775
390	0.00390	  256.726	  0.1541
391	0.00391	  256.070	  0.1946
392	0.00392	  255.416	  0.1818
393	0.00393	  254.766	  0.1643
394	0.00394	  254.120	  0.1762
395	0.00395	  253.476	  0.1773
396	0.00396	  252.836	  0.1642
397	0.00397	  252.200	  0.1565
398	0.00398	  251.566	  0.1710
399	0.00399	  250.935	  0.1628
400	0.00400	  250.308	  0.1681
401	0.00401	  249.684	  0.1585
402	0.00402	  249.063	  0.1354
403	0.00403	  248.445	  0.1466
404	0.00404	  247.830	  0.1667
405	0.00405	  247.218	  0.1879
406	0.00406	  246.609	  0.1674
407	0.00406	  246.003	  0.1458
408	0.00407	  245.400	  0.1557
409	0.00408	  244.800	  0.1793
410	0.00409	  244.203	  0.1535
411	0.00410	  243.609	  0.1028
412	0.00411	  243.018	  0.1352
413	0.00412	  242.429	  0.1470
414	0.00413	  241.843	  0.1585
415	0.00414	  241.261	  0.1604
416	0.00415	  240.681	  0.1403
417	0.00416	  240.104	  0.1576
418	0.00417	  239.529	  0.1700
419	0.00418	  238.958	  0.1689
420	0.00419	  238.389	  0.1440
421	0.00420	  237.822	  0.1388
422	0.00421	  237.259	  0.1339
423	0.00422	  236.698	  0.1302
424	0.00423	  236.140	  0.1405
425	0.00424	  235.584	  0.1561
426	0.00425	  235.031	  0.1421
427	0.00426	  234.481	  0.1161
428	0.00427	  233.933	  0.1402
429	0.00428	  233.387	  0.1393
430	0.00429	  232.845	  0.1243
431	0.00430	  232.304	  0.1345
432	0.00431	  231.767	  0.1232
433	0.00432	  231.231	  0.1141
434	0.00433	  230.699	  0.1143
435	0.00434	  230.168	  0.1198
436	0.00435	  229.640	  0.1236
437	0.00436	  229.115	  0.1197
438	0.00437	  228.592	  0.1290
439	0.00438	  228.071	  0.1430
440	0.00439	  227.553	  0.1261
441	0.00440	  227.037	  0.1165
442	0.00441	  226.523	  0.1166
443	0.00442	  226.012	  0.1068
444	0.00443	  225.503	  0.1166
445	0.00444	  224.996	  0.1129
446	0.00445	  224.492	  0.0980
447	0.00446	  223.989	  0.1198
448	0.00447	  223.489	  0.1449
449	0.00448	  222.992	  0.1243
450	0.00449	  222.496	  0.1142
451	0.00450	  222.003	  0.1154
452	0.00451	  221.512	  0.1047
453	0.00452	  221.023	  0.0954
454	0.00453	  220.536	  0.0838
455	0.00454	  220.051	  0.0636
456	0.00455	  219.568	  0.1016
457	0.00456	  219.088	  0.1293
458	0.00457	  218.610	  0.0963
459	0.00458	  218.133	  0.1057
460	0.00459	  217.659	  0.1120
461	0.00460	  217.187	  0.1090
462	0.00461	  216.717	  0.1139
463	0.00462	  216.249	  0.1016
464	0.00463	  215.783	  0.0982
465	0.00464	  215.319	  0.1016
466	0.00465	  214.857	  0.0965
467	0.00466	  214.397	  0.0935
468	0.00467	  213.938	  0.0955
469	0.00468	  213.482	  0.0938
470	0.00469	  213.028	  0.0892
471	0.00470	  212.576	  0.0925
472	0.00471	  212.125	  0.1050
473	0.00472	  211.677	  0.1187
474	0.00473	  211.230	  0.1030
475	0.00474	  210.786	  0.0910
476	0.00475	  210.343	  0.1116
477	0.00476	  209.902	  0.0974
478	0.00477	  209.463	  0.0769
479	0.00478	  209.025	  0.0628
480	0.00479	  208.590	  0.0660
481	0.00480	  208.156	  0.0953
482	0.00481	  207.724	  0.0843
483	0.00482	  207.294	  0.0607
484	0.00483	  206.866	  0.0695
485	0.00484	  206.440	  0.0839
486	0.00485	  206.015	  0.0886
487	0.00486	  205.592	  0.0831
488	0.00487	  205.170	  0.0906
489	0.00488	  204.751	  0.0818
490	0.00489	  204.333	  0.0537
491	0.00490	  203.917	  0.0712
492	0.00491	  203.502	  0.0813
493	0.00492	  203.090	  0.0795
494	0.00493	  202.679	  0.0797
495	0.00494	  202.269	  0.0852
496	0.00495	  201.861	  0.0838
497	0.00496	  201.455	  0.0721
498	0.00497	  201.051	  0.0766
499	0.00498	  200.648	  0.0806
500	0.00499	  200.246	  0.0953
501	0.00500	  199.847	  0.0944
502	0.00501	  199.449	  0.0732
503	0.00502	  199.052	  0.0734
504	0.00503	  198.657	  0.0740
505	0.00504	  198.264	  0.0791
506	0.00505	  197.872	  0.0863
507	0.00506	  197.482	  0.0751
508	0.00507	  197.093	  0.0675
509	0.00508	  196.706	  0.0696
510	0.00509	  196.320	  0.0694
511	0.00510	  195.936	  0.0655
512	0.00511	  195.553	  0.0589
513	0.00512	  195.172	  0.0771
514	0.00513	  194.792	  0.0789
515	0.00514	  194.414	  0.0551
516	0.00515	  194.037	  0.0608
517	0.00516	  193.662	  0.0665
518	0.00517	  193.288	  0.0649
519	0.00518	  192.916	  0.0688
520	0.00519	  192.545	  0.0783
521	0.00520	  192.175	  0.0708
522	0.00521	  191.807	  0.0633
523	0.00522	  191.440	  0.0548
524	0.00523	  191.075	  0.0549
525	0.00524	  190.711	  0.0655
526	0.00525	  190.348	  0.0675
527	0.00526	  189.987	  0.0470
528	0.00527	  189.627	  0.0303
529	0.00528	  189.269	  0.0497
530	0.00529	  188.912	  0.0529
531	0.00530	  188.556	  0.0348
532	0.00531	  188.202	  0.0375
533	0.00532	  187.848	  0.0542
534	0.00533	  187.497	  0.0406
535	0.00534	  187.146	  0.0438
536	0.00535	  186.797	  0.0604
537	0.00536	  186.449	  0.0520
538	0.00537	  186.103	  0.0658
539	0.00538	  185.757	  0.0527
540	0.00539	  185.413	  0.0311
541	0.00540	  185.071	  0.0495
542	0.00541	  184.729	  0.0604
543	0.00542	  184.389	  0.0603
544	0.00543	  184.050	  0.0497
545	0.00544	  183.712	  0.0550
546	0.00545	  183.376	  0.0573
547	0.00546	  183.041	  0.0565
548	0.00547	  182.707	  0.0750
549	0.00548	  182.374	  0.0515
550	0.00549	  182.042	  0.0240
551	0.00550	  181.712	  0.0211
552	0.00551	  181.383	  0.0435
553	0.00552	  181.055	  0.0727
554	0.00553	  180.728	  0.0533
555	0.00554	  180.402	  0.0391
556	0.00555	  180.078	  0.0504
557	0.00556	  179.754	  0.0412
558	0.00557	  179.432	  0.0408
559	0.00558	  179.111	  0.0733
560	0.00559	  178.791	  0.0727
561	0.00560	  178.473	  0.0301
562	0.00561	  178.155	  0.0095
563	0.00562	  177.839	  0.0154
564	0.00563	  177.523	  0.0375
565	0.00564	  177.209	  0.0638
566	0.00565	  176.896	  0.0744
567	0.00566	  176.584	  0.0656
568	0.00567	  176.273	  0.0518
569	0.00568	  175.963	  0.0371
570	0.00569	  175.655	  0.0235
571	0.00570	  175.347	  0.0289
572	0.00571	  175.041	  0.0338
573	0.00572	  174.735	  0.0361
574	0.00573	  174.431	  0.0534
575	0.00574	  174.127	  0.0634
576	0.00575	  173.825	  0.0455
577	0.00576	  173.524	  0.0412
578	0.00577	  173.224	  0.0408
579	0.00578	  172.924	  0.0470
580	0.00579	  172.626	  0.0606
581	0.00580	  172.329	  0.0606
582	0.00581	  172.033	  0.0350
583	0.00582	  171.738	  0.0146
584	0.00583	  171.444	  0.0192
585	0.00584	  171.151	  0.0231
586	0.00585	  170.859	  0.0171
587	0.00586	  170.568	  0.0366
588	0.00587	  170.278	  0.0543
589	0.00588	  169.988	  0.0338
590	0.00589	  169.700	  0.0271
591	0.00590	  169.413	  0.0424
592	0.00591	  169.127	  0.0360
593	0.00592	  168.842	  0.0254
594	0.00593	  168.558	  0.0315
595	0.00594	  168.274	  0.0179
596	0.00595	  167.992	  0.0300
597	0.00596	  167.711	  0.0464
598	0.00597	  167.430	  0.0364
599	0.00598	  167.151	  0.0350
600	0.00599	  166.872	  0.0345
601	0.00600	  166.594	  0.0174
602	0.00601	  166.318	  0.0223
603	0.00602	  166.042	  0.0454
604	0.00603	  165.767	  0.0553
605	0.00604	  165.493	  0.0550
606	0.00605	  165.220	  0.0610
607	0.00606	  164.948	  0.0471
608	0.00607	  164.676	  0.0305
609	0.00608	  164.406	  0.0427
610	0.00609	  164.136	  0.0252
611	0.00610	  163.868	  0.0222
612	0.00611	  163.600	  0.0364
613	0.00612	  163.333	  0.0527
614	0.00613	  163.067	  0.0442
615	0.00614	  162.802	  0.0202
616	0.00615	  162.538	  0.0291
617	0.00616	  162.274	  0.0346
618	0.00617	  162.012	  0.0254
619	0.00618	  161.750	  0.0278
620	0.00619	  161.489	  0.0309
621	0.00620	  161.229	  0.0091
622	0.00621	  160.970	  0.0131
623	0.00622	  160.711	  0.0306
624	0.00623	  160.454	  0.0167
625	0.00624	  160.197	  0.0346
626	0.00625	  159.941	  0.0592
627	0.00626	  159.686	  0.0487
628	0.00627	  159.432	  0.0378
629	0.00628	  159.178	  0.0416
630	0.00629	  158.926	  0.0365
631	0.00630	  158.674	  0.0262
632	0.00631	  158.423	  0.0347
633	0.00632	  158.173	  0.0359
634	0.00633	  157.923	  0.0268
635	0.00634	  157.674	  0.0284
636	0.00635	  157.426	  0.0373
637	0.00636	  157.179	  0.0449
638	0.00637	  156.933	  0.0241
639	0.00638	  156.687	  0.0231
640	0.00639	  156.443	  0.0329
641	0.00640	  156.198	  0.0128
642	0.00641	  155.955	  0.0375
643	0.00642	  155.713	  0.0519
644	0.00643	  155.471	  0.0462
645	0.00644	  155.230	  0.0407
646	0.00645	  154.989	  0.0164
647	0.00646	  154.750	  0.0293
648	0.00647	  154.511	  0.0557
649	0.00648	  154.273	  0.0436
650	0.00649	  154.036	  0.0329
651	0.00650	  153.799	  0.0197
652	0.00651	  153.563	  0.0028
653	0.00652	  153.328	  0.0157
654	0.00653	  153.094	  0.0302
655	0.00654	  152.860	  0.0345
656	0.00655	  152.627	  0.0245
657	0.00656	  152.395	  0.0099
658	0.00657	  152.163	  0.0211
659	0.00658	  151.932	  0.0228
660	0.00659	  151.702	  0.0292
661	0.00660	  151.472	  0.0351
662	0.00661	  151.244	  0.0165
663	0.00662	  151.015	  0.0069
664	0.00663	  150.788	  0.0246
665	0.00664	  150.561	  0.0297
666	0.00665	  150.335	  0.0184
667	0.00666	  150.110	  0.0256
668	0.00667	  149.885	  0.0314
669	0.00668	  149.661	  0.0288
670	0.00669	  149.438	  0.0279
671	0.00670	  149.215	  0.0358
672	0.00671	  148.993	  0.0353
673	0.00672	  148.771	  0.0215
674	0.00673	  148.551	  0.0262
675	0.00674	  148.331	  0.0444
676	0.00675	  148.111	  0.0345
677	0.00676	  147.892	  0.0317
678	0.00677	  147.674	  0.0311
679	0.00678	  147.457	  0.0101
680	0.00679	  147.240	  0.0235
681	0.00680	  147.024	  0.0302
682	0.00681	  146.808	  0.0267
683	0.00682	  146.593	  0.0321
684	0.00683	  146.379	  0.0198
685	0.00684	  146.165	  0.0095
686	0.00685	  145.952	  0.0138
687	0.00686	  145.740	  0.0203
688	0.00687	  145.528	  0.0112
689	0.00688	  145.317	  0.0029
690	0.00689	  145.106	  0.0070
691	0.00690	  144.896	  0.0158
692	0.00691	  144.687	  0.0140
693	0.00692	  144.478	  0.0000
694	0.00693	  144.270	  0.0123
695	0.00694	  144.062	  0.0332
696	0.00695	  143.855	  0.0259
697	0.00696	  143.649	  0.0158
698	0.00697	  143.443	  0.0285
699	0.00698	  143.238	  0.0298
700	0.00699	  143.033	  0.0091
701	0.00700	  142.829	  0.0138
702	0.00701	  142.626	  0.0239
703	0.00702	  142.423	  0.0360
704	0.00703	  142.220	  0.0263
705	0.00704	  142.019	  0.0031
706	0.00705	  141.818	  0.0170
707	0.00706	  141.617	  0.0196
708	0.00707	  141.417	  0.0093
709	0.00708	  141.217	  0.0174
710	0.00709	  141.019	  0.0383
711	0.00710	  140.820	  0.0167
712	0.00711	  140.622	  0.0000
713	0.00712	  140.425	  0.0094
714	0.00713	  140.229	  0.0131
715	0.00714	  140.032	  0.0154
716	0.00715	  139.837	  0.0209
717	0.00716	  139.642	  0.0253
718	0.00717	  139.447	  0.0156
719	0.00718	  139.253	  0.0222
720	0.00719	  139.060	  0.0300
721	0.00720	  138.867	  0.0287
722	0.00721	  138.675	  0.0181
723	0.00722	  138.483	  0.0102
724	0.00723	  138.292	  0.0065
725	0.00724	  138.101	  0.0098
726	0.00725	  137.911	  0.0100
727	0.00726	  137.721	  0.0062
728	0.00727	  137.532	  0.0157
729	0.00728	  137.343	  0.0071
730	0.00729	  137.155	  0.0000
731	0.00730	  136.967	  0.0061
732	0.00731	  136.780	  0.0024
733	0.00732	  136.594	  0.0062
734	0.00733	  136.408	  0.0128
735	0.00734	  136.222	  0.0059
736	0.00735	  136.037	  0.0094
737	0.00736	  135.852	  0.0027
738	0.00737	  135.668	  0.0000
739	0.00738	  135.485	  0.0104
740	0.00739	  135.302	  0.0161
741	0.00740	  135.119	  0.0177
742	0.00741	  134.937	  0.0189
743	0.00742	  134.755	  0.0088
744	0.00743	  134.574	  0.0076
745	0.00744	  134.394	  0.0161
746	0.00745	  134.213	  0.0014
747	0.00746	  134.034	  0.0076
748	0.00747	  133.855	  0.0133
749	0.00748	  133.676	  0.0076
750	0.00749	  133.498	  0.0135
Projection # 2 - Tilt angle: 28.63
Radius	s(1/A)	Res(A)	NLOO2D
0	0.00000	1001232.062	  1.0000
1	0.00001	100123.203	  1.0000
2	0.00002	50061.602	  0.9996
3	0.00003	33374.402	  1.0000
4	0.00004	25030.801	  1.0000
5	0.00005	20024.641	  1.0000
6	0.00006	16687.201	  1.0000
7	0.00007	14303.315	  1.0000
8	0.00008	12515.400	  1.0000
9	0.00009	11124.801	  1.0000
10	0.00010	10012.320	  1.0000
11	0.00011	 9102.109	  1.0000
12	0.00012	 8343.601	  1.0000
13	0.00013	 7701.785	  1.0000
